OrgType,TeamSize,ClientVolume,Recommended_Package
Home Care/Group Home,51+,>1000,Community Access
Public Health Provider,2–5,100–500,Enterprise Care
Public Health Provider,2–5,100–500,Enterprise Care
Insurance Provider/EAS,6–15,100–500,Enterprise Access
Private Practice,51+,<100,Community Access
Private Practice,6–15,>1000,Practice Plus
Home Care/Group Home,16–50,501–1000,Community Access
Public Health Provider,2–5,501–1000,Enterprise Care
Home Care/Group Home,6–15,<100,Practice Plus
Home Care/Group Home,16–50,100–500,Community Access
Private Practice,2–5,100–500,Fresh Start
Public Health Provider,1,>1000,Enterprise Care
Private Practice,51+,>1000,Community Access
Private Practice,2–5,501–1000,Fresh Start
Insurance Provider/EAS,1,501–1000,Enterprise Access
Insurance Provider/EAS,1,<100,Enterprise Access
Home Care/Group Home,16–50,>1000,Community Access
Insurance Provider/EAS,1,>1000,Enterprise Access
Private Practice,16–50,501–1000,Community Access
Home Care/Group Home,1,>1000,Practice Plus
Insurance Provider/EAS,6–15,100–500,Enterprise Access
Insurance Provider/EAS,51+,>1000,Enterprise Access
Insurance Provider/EAS,16–50,<100,Enterprise Access
Insurance Provider/EAS,2–5,<100,Enterprise Access
Public Health Provider,51+,<100,Enterprise Care
Public Health Provider,51+,501–1000,Enterprise Care
Home Care/Group Home,6–15,>1000,Practice Plus
Home Care/Group Home,1,100–500,Practice Plus
Private Practice,1,<100,Fresh Start
Home Care/Group Home,16–50,<100,Community Access
Home Care/Group Home,51+,100–500,Community Access
Public Health Provider,6–15,<100,Enterprise Care
Public Health Provider,2–5,>1000,Enterprise Care
Home Care/Group Home,16–50,100–500,Community Access
Public Health Provider,6–15,>1000,Enterprise Care
Public Health Provider,6–15,>1000,Enterprise Care
Home Care/Group Home,51+,<100,Community Access
Public Health Provider,2–5,501–1000,Enterprise Care
Public Health Provider,1,501–1000,Enterprise Care
Home Care/Group Home,1,501–1000,Practice Plus
Insurance Provider/EAS,16–50,501–1000,Enterprise Access
Private Practice,6–15,100–500,Practice Plus
Insurance Provider/EAS,2–5,501–1000,Enterprise Access
Public Health Provider,1,100–500,Enterprise Care
Insurance Provider/EAS,1,<100,Enterprise Access
Public Health Provider,1,>1000,Enterprise Care
Private Practice,1,>1000,Fresh Start
Public Health Provider,2–5,>1000,Enterprise Care
Insurance Provider/EAS,2–5,501–1000,Enterprise Access
Insurance Provider/EAS,1,<100,Enterprise Access
Public Health Provider,1,<100,Enterprise Care
Insurance Provider/EAS,51+,100–500,Enterprise Access
Home Care/Group Home,2–5,<100,Practice Plus
Private Practice,2–5,>1000,Fresh Start
Home Care/Group Home,2–5,>1000,Practice Plus
Private Practice,16–50,501–1000,Community Access
Public Health Provider,2–5,100–500,Enterprise Care
Private Practice,1,>1000,Fresh Start
Insurance Provider/EAS,51+,100–500,Enterprise Access
Insurance Provider/EAS,1,>1000,Enterprise Access
Public Health Provider,6–15,100–500,Enterprise Care
Insurance Provider/EAS,51+,<100,Enterprise Access
Insurance Provider/EAS,1,>1000,Enterprise Access
Public Health Provider,1,501–1000,Enterprise Care
Home Care/Group Home,16–50,>1000,Community Access
Home Care/Group Home,51+,501–1000,Community Access
Private Practice,51+,>1000,Community Access
Home Care/Group Home,16–50,>1000,Community Access
Insurance Provider/EAS,6–15,100–500,Enterprise Access
Public Health Provider,6–15,100–500,Enterprise Care
Home Care/Group Home,16–50,<100,Community Access
Insurance Provider/EAS,6–15,100–500,Enterprise Access
Private Practice,1,>1000,Fresh Start
Insurance Provider/EAS,6–15,<100,Enterprise Access
Home Care/Group Home,16–50,501–1000,Community Access
Private Practice,1,<100,Fresh Start
Private Practice,51+,<100,Community Access
Public Health Provider,1,<100,Enterprise Care
Private Practice,16–50,100–500,Community Access
Private Practice,2–5,>1000,Fresh Start
Private Practice,1,501–1000,Fresh Start
Insurance Provider/EAS,16–50,100–500,Enterprise Access
Home Care/Group Home,51+,>1000,Community Access
Public Health Provider,51+,>1000,Enterprise Care
Home Care/Group Home,1,100–500,Practice Plus
Home Care/Group Home,16–50,501–1000,Community Access
Private Practice,16–50,>1000,Community Access
Private Practice,51+,<100,Community Access
Home Care/Group Home,1,<100,Practice Plus
Home Care/Group Home,2–5,501–1000,Practice Plus
Home Care/Group Home,6–15,>1000,Practice Plus
Home Care/Group Home,1,>1000,Practice Plus
Public Health Provider,1,>1000,Enterprise Care
Public Health Provider,2–5,<100,Enterprise Care
Home Care/Group Home,2–5,501–1000,Practice Plus
Private Practice,2–5,<100,Fresh Start
Private Practice,16–50,100–500,Community Access
Home Care/Group Home,6–15,<100,Practice Plus
Private Practice,2–5,>1000,Fresh Start
Home Care/Group Home,51+,100–500,Community Access
Public Health Provider,51+,100–500,Enterprise Care
Public Health Provider,6–15,>1000,Enterprise Care
Private Practice,6–15,>1000,Practice Plus
Public Health Provider,51+,>1000,Enterprise Care
Public Health Provider,6–15,>1000,Enterprise Care
Public Health Provider,1,100–500,Enterprise Care
Insurance Provider/EAS,6–15,<100,Enterprise Access
Insurance Provider/EAS,6–15,>1000,Enterprise Access
Private Practice,2–5,501–1000,Fresh Start
Private Practice,16–50,501–1000,Community Access
Home Care/Group Home,51+,100–500,Community Access
Private Practice,6–15,501–1000,Practice Plus
Insurance Provider/EAS,16–50,501–1000,Enterprise Access
Insurance Provider/EAS,6–15,<100,Enterprise Access
Public Health Provider,6–15,100–500,Enterprise Care
Insurance Provider/EAS,1,100–500,Enterprise Access
Insurance Provider/EAS,6–15,<100,Enterprise Access
Home Care/Group Home,6–15,<100,Practice Plus
Public Health Provider,16–50,<100,Enterprise Care
Insurance Provider/EAS,2–5,<100,Enterprise Access
Private Practice,1,501–1000,Fresh Start
Home Care/Group Home,16–50,<100,Community Access
Public Health Provider,16–50,>1000,Enterprise Care
Insurance Provider/EAS,51+,501–1000,Enterprise Access
Insurance Provider/EAS,16–50,501–1000,Enterprise Access
Public Health Provider,51+,<100,Enterprise Care
Public Health Provider,16–50,100–500,Enterprise Care
Private Practice,2–5,<100,Fresh Start
Public Health Provider,16–50,>1000,Enterprise Care
Private Practice,16–50,100–500,Community Access
Home Care/Group Home,6–15,<100,Practice Plus
Public Health Provider,2–5,100–500,Enterprise Care
Private Practice,1,100–500,Fresh Start
Public Health Provider,2–5,100–500,Enterprise Care
Public Health Provider,51+,501–1000,Enterprise Care
Public Health Provider,16–50,501–1000,Enterprise Care
Public Health Provider,1,>1000,Enterprise Care
Private Practice,16–50,501–1000,Community Access
Home Care/Group Home,6–15,501–1000,Practice Plus
Private Practice,16–50,100–500,Community Access
Home Care/Group Home,6–15,100–500,Practice Plus
Public Health Provider,51+,100–500,Enterprise Care
Private Practice,1,>1000,Fresh Start
Private Practice,1,<100,Fresh Start
Public Health Provider,2–5,>1000,Enterprise Care
Insurance Provider/EAS,2–5,501–1000,Enterprise Access
Private Practice,2–5,>1000,Fresh Start
Private Practice,16–50,501–1000,Community Access
Insurance Provider/EAS,51+,>1000,Enterprise Access
